"Afghanistan",2,"2012-2014",7900000
"Afrique du Sud",202,"2012-2014",2600000
"Albanie",3,"2012-2014",2e+05
"Algérie",4,"2012-2014",1700000
"Allemagne",79,"2012-2014",NA
"Andorre",6,"2012-2014",NA
"Angola",7,"2012-2014",8100000
"Antigua-et-Barbuda",8,"2012-2014",NA
"Arabie saoudite",194,"2012-2014",1600000
"Argentine",9,"2012-2014",1500000
"Arménie",1,"2012-2014",1e+05
"Australie",10,"2012-2014",NA
"Autriche",11,"2012-2014",NA
"Azerbaidjan",52,"2012-2014",NA
"Bahamas",12,"2012-2014",NA
"Bahrein",13,"2012-2014",NA
"Bangladesh",16,"2012-2014",26100000
"Barbade",14,"2012-2014",1e+05
"Bélarus",57,"2012-2014",NA
"Belgique",255,"2012-2014",NA
"Belize",23,"2012-2014",1e+05
"Bénin",53,"2012-2014",1e+06
"Bermudes",17,"2012-2014",NA
"Bhoutan",18,"2012-2014",NA
"Bolivie (État plurinational de)",19,"2012-2014",2200000
"Bosnie-Herzégovine",80,"2012-2014",NA
"Botswana",20,"2012-2014",5e+05
"Brésil",21,"2012-2014",NA
"Brunéi Darussalam",26,"2012-2014",1e+05
"Bulgarie",27,"2012-2014",4e+05
"Burkina Faso",233,"2012-2014",3400000
"Burundi",29,"2012-2014",NA
"Cabo Verde",35,"2012-2014",1e+05
"Cambodge",115,"2012-2014",2800000
"Cameroun",32,"2012-2014",1700000
"Canada",33,"2012-2014",NA
"Chili",40,"2012-2014",6e+05
"Chine - RAS de Hong-Kong",96,"2012-2014",NA
"Chine - RAS de Macao",128,"2012-2014",1e+05
"Chine, continentale",41,"2012-2014",136600000
"Chine, Taiwan Province de",214,"2012-2014",1e+06
"Chypre",50,"2012-2014",1e+05
"Colombie",44,"2012-2014",4100000
"Comores",45,"2012-2014",NA
"Congo",46,"2012-2014",1800000
"Costa Rica",48,"2012-2014",3e+05
"Côte d'Ivoire",107,"2012-2014",4700000
"Croatie",98,"2012-2014",NA
"Cuba",49,"2012-2014",NA
"Danemark",54,"2012-2014",NA
"Djibouti",72,"2012-2014",2e+05
"Dominique",55,"2012-2014",1e+05
"Égypte",59,"2012-2014",3900000
"El Salvador",60,"2012-2014",7e+05
"Émirats arabes unis",225,"2012-2014",4e+05
"Équateur",58,"2012-2014",1300000
"Érythrée",178,"2012-2014",NA
"Espagne",203,"2012-2014",NA
"Estonie",63,"2012-2014",1e+05
"Eswatini",209,"2012-2014",3e+05
"États-Unis d'Amérique",231,"2012-2014",NA
"Éthiopie",238,"2012-2014",25300000
"Fédération de Russie",185,"2012-2014",NA
"Fidji",66,"2012-2014",1e+05
"Finlande",67,"2012-2014",NA
"France",68,"2012-2014",NA
