Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","983","Butter and ghee, sheep milk","2018","2018","tonnes","4691","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","886","Butter, cow milk","2018","2018","tonnes","36593","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1021","Cheese, goat milk","2018","2018","tonnes","10457","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","984","Cheese, sheep milk","2018","2018","tonnes","12509","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1062","Eggs, hen, in shell","2018","2018","tonnes","22412","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","448248","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1129","Fat, camels","2018","2018","tonnes","258","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","869","Fat, cattle","2018","2018","tonnes","2255","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1019","Fat, goats","2018","2018","tonnes","1710","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","979","Fat, sheep","2018","2018","tonnes","6383","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","919","Hides, cattle, fresh","2018","2018","tonnes","15089","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2018","2018","tonnes","1361","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1127","Meat, camel","2018","2018","tonnes","3683","Im","FAO data based on imputation methodology"
