Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2731","Bovine Meat","2018","2018","1000 tonnes","130","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2732","Mutton & Goat Meat","2018","2018","1000 tonnes","161","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2733","Pigmeat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","29","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2735","Meat, Other","2018","2018","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2736","Offals, Edible","2018","2018","1000 tonnes","56","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2740","Butter, Ghee","2018","2018","1000 tonnes","37","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2743","Cream","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2737","Fats, Animals, Raw","2018","2018","1000 tonnes","12","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2744","Eggs","2018","2018","1000 tonnes","22","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2848","Milk - Excluding Butter","2018","2018","1000 tonnes","2128","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","2","Afghanistan","5511","Production","2761","Freshwater Fish","2018","2018","1000 tonnes","9","Im","FAO data based on imputation methodology"
