Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","2","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","34413.603","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","25368.923","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","8367.571","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","2","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37171.921","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","27099.874","X","International reliable sources",""
"OA","Annual population","2","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","9273.302","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","3","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","2890.513","X","International reliable sources",""
"OA","Annual population","3","Albania","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","1244.341","X","International reliable sources",""
"OA","Annual population","3","Albania","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","1679.011","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","3","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2882.74","X","International reliable sources",""
"OA","Annual population","3","Albania","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1164.388","X","International reliable sources",""
"OA","Annual population","3","Albania","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1769.975","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","4","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","39728.025","X","International reliable sources",""
"OA","Annual population","4","Algeria","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","11623.281","X","International reliable sources",""
"OA","Annual population","4","Algeria","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","28248.247","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","4","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","42228.408","X","International reliable sources",""
"OA","Annual population","4","Algeria","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","11498.038","X","International reliable sources",""
"OA","Annual population","4","Algeria","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","30510.016","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","5","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","55.812","X","International reliable sources",""
"OA","Annual population","5","American Samoa","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 persons","7.088","X","International reliable sources",""
"OA","Annual population","5","American Samoa","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 persons","48.449","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","5","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","55.465","X","International reliable sources",""
"OA","Annual population","5","American Samoa","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","7.153","X","International reliable sources",""
"OA","Annual population","5","American Samoa","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","48.526","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
