Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole,Note
"OA","S?ries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","34413.603","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","25368.923","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","8367.571","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","37171.921","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","27099.874","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","9273.302","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","55386.367","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","202","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","19446.876","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","202","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","35844.349","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","57792.518","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","202","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","19311.652","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","202","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","38086.769","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2890.513","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","3","Albanie","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","1244.341","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","3","Albanie","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","1679.011","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","2882.74","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","3","Albanie","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","1164.388","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","3","Albanie","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","1769.975","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","4","Alg?rie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","39728.025","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","4","Alg?rie","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","11623.281","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","4","Alg?rie","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","28248.247","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","4","Alg?rie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","42228.408","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","4","Alg?rie","551","Population rurale","3010","Population-Estimations","2018","2018","1000 personnes","11498.038","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","4","Alg?rie","561","Population urbaine","3010","Population-Estimations","2018","2018","1000 personnes","30510.016","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","81787.411","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","79","Allemagne","551","Population rurale","3010","Population-Estimations","2015","2015","1000 personnes","18629.376","X","Sources internationales s?res",""
"OA","S?ries temporelles annuelles","79","Allemagne","561","Population urbaine","3010","Population-Estimations","2015","2015","1000 personnes","63078.413","X","Sources internationales s?res","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","S?ries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","83124.418","X","Sources internationales s?res",""
